"codigo_comarca";"nome_comarca";"ano";"denuncias";"com_informacao";"sem_informacao";"com_sentenca";"aguardando_sentenca";"sentenca_julgada_procedente";"sentenca_julgada_improcedente";"processo_extinto";"processo_suspenso";"taxa_com_informacao";"taxa_sem_informacao";"taxa_com_sentenca";"taxa_aguardando_sentenca";"taxa_sentenca_julgada_procedente";"taxa_sentenca_julgada_improcedente";"taxa_processo_extinto";"taxa_processo_suspenso"
72;"Sapucaia";"2016";187;127;60;124;3;32;27;59;6;67,9;32,1;97,6;2,4;25,8;21,8;47,6;4,8
73;"Saquarema";"2016";121;108;13;91;17;57;7;26;1;89,3;10,7;84,3;15,7;62,6;7,7;28,6;1,1
74;"Seropédica";"2016";195;127;68;103;24;66;12;22;3;65,1;34,9;81,1;18,9;64,1;11,7;21,4;2,9
75;"Silva Jardim";"2016";97;36;61;30;6;16;5;9;0;37,1;62,9;83,3;16,7;53,3;16,7;30;0
76;"Sumidouro";"2016";52;43;9;37;6;12;12;11;2;82,7;17,3;86;14;32,4;32,4;29,7;5,4
78;"Teresópolis";"2016";1205;461;744;381;80;143;134;93;11;38,3;61,7;82,6;17,4;37,5;35,2;24,4;2,9
79;"Trajano de Moraes";"2016";23;13;10;11;2;4;0;7;0;56,5;43,5;84,6;15,4;36,4;0;63,6;0
80;"Três Rios";"2016";785;740;45;657;83;379;90;179;9;94,3;5,7;88,8;11,2;57,7;13,7;27,2;1,4
81;"Valença";"2016";425;365;60;338;27;204;37;91;6;85,9;14,1;92,6;7,4;60,4;10,9;26,9;1,8
82;"Vassouras";"2016";202;129;73;123;6;71;14;28;10;63,9;36,1;95,3;4,7;57,7;11,4;22,8;8,1
83;"Volta Redonda";"2016";892;590;302;456;134;305;44;104;3;66,1;33,9;77,3;22,7;66,9;9,6;22,8;0,7
