"codigo_comarca";"nome_comarca";"ano";"denuncias";"com_informacao";"sem_informacao";"com_sentenca";"aguardando_sentenca";"sentenca_julgada_procedente";"sentenca_julgada_improcedente";"processo_extinto";"processo_suspenso";"taxa_com_informacao";"taxa_sem_informacao";"taxa_com_sentenca";"taxa_aguardando_sentenca";"taxa_sentenca_julgada_procedente";"taxa_sentenca_julgada_improcedente";"taxa_processo_extinto";"taxa_processo_suspenso"
36;"Mangaratiba";"2016";396;289;107;190;99;72;28;85;5;73;27;65,7;34,3;37,9;14,7;44,7;2,6
37;"Maricá";"2016";489;413;76;352;61;180;44;114;14;84,5;15,5;85,2;14,8;51,1;12,5;32,4;4
38;"Mendes";"2016";102;63;39;63;0;37;3;18;5;61,8;38,2;100;0;58,7;4,8;28,6;7,9
40;"Miguel Pereira";"2016";108;29;79;27;2;4;1;19;3;26,9;73,1;93,1;6,9;14,8;3,7;70,4;11,1
41;"Miracema";"2016";243;194;49;191;3;77;19;85;10;79,8;20,2;98,5;1,5;40,3;9,9;44,5;5,2
42;"Natividade";"2016";151;139;12;126;13;40;18;66;2;92,1;7,9;90,6;9,4;31,7;14,3;52,4;1,6
43;"Nilópolis";"2016";197;191;6;175;16;107;31;27;10;97;3;91,6;8,4;61,1;17,7;15,4;5,7
44;"Niterói";"2016";2061;1904;157;1829;75;897;250;501;181;92,4;7,6;96,1;3,9;49;13,7;27,4;9,9
45;"Nova Friburgo";"2016";883;586;297;542;44;338;77;101;26;66,4;33,6;92,5;7,5;62,4;14,2;18,6;4,8
46;"Nova Iguaçu";"2016";3233;1993;1240;1703;290;903;361;412;27;61,6;38,4;85,4;14,6;53;21,2;24,2;1,6
47;"Paracambi";"2016";187;65;122;58;7;16;1;41;0;34,8;65,2;89,2;10,8;27,6;1,7;70,7;0
48;"Paraíba do Sul";"2016";281;195;86;150;45;53;25;67;5;69,4;30,6;76,9;23,1;35,3;16,7;44,7;3,3
49;"Paraty";"2016";190;180;10;129;51;66;17;40;6;94,7;5,3;71,7;28,3;51,2;13,2;31;4,7
50;"Paty do Alferes";"2016";85;44;41;42;2;21;4;17;0;51,8;48,2;95,5;4,5;50;9,5;40,5;0
51;"Petrópolis";"2016";1673;1183;490;1048;135;448;137;447;16;70,7;29,3;88,6;11,4;42,7;13,1;42,7;1,5
52;"Pinheiral";"2016";67;56;11;55;1;29;8;18;0;83,6;16,4;98,2;1,8;52,7;14,5;32,7;0
53;"Piraí";"2016";291;157;134;147;10;88;14;40;5;54;46;93,6;6,4;59,9;9,5;27,2;3,4
54;"Porciúncula";"2016";156;150;6;141;9;69;32;38;2;96,2;3,8;94;6;48,9;22,7;27;1,4
55;"Porto Real-Quatis";"2016";161;103;58;77;26;43;3;30;1;64;36;74,8;25,2;55,8;3,9;39;1,3
56;"Queimados";"2016";336;199;137;186;13;119;33;34;0;59,2;40,8;93,5;6,5;64;17,7;18,3;0
57;"Resende";"2016";937;816;121;494;322;273;47;171;3;87,1;12,9;60,5;39,5;55,3;9,5;34,6;0,6
58;"Rio Bonito";"2016";318;180;138;173;7;111;9;51;2;56,6;43,4;96,1;3,9;64,2;5,2;29,5;1,2
59;"Rio Claro";"2016";57;57;0;49;8;20;6;20;3;100;0;86;14;40,8;12,2;40,8;6,1
60;"Rio Das Flores";"2016";45;43;2;41;2;22;5;14;0;95,6;4,4;95,3;4,7;53,7;12,2;34,1;0
61;"Rio Das Ostras";"2016";647;65;582;52;13;11;9;32;0;10;90;80;20;21,2;17,3;61,5;0
62;"Santa Maria Madalena";"2016";35;6;29;6;0;0;0;6;0;17,1;82,9;100;0;0;0;100;0
63;"Santo Antônio de Pádua";"2016";254;184;70;181;3;104;18;47;12;72,4;27,6;98,4;1,6;57,5;9,9;26;6,6
64;"São Fidélis";"2016";215;56;159;54;2;19;6;29;0;26;74;96,4;3,6;35,2;11,1;53,7;0
65;"São Francisco do Itabapoana";"2016";73;7;66;7;0;1;1;5;0;9,6;90,4;100;0;14,3;14,3;71,4;0
66;"São Gonçalo";"2016";2838;2136;702;2034;102;1040;473;317;204;75,3;24,7;95,2;4,8;51,1;23,3;15,6;10
67;"São João da Barra";"2016";200;7;193;6;1;1;1;4;0;3,5;96,5;85,7;14,3;16,7;16,7;66,7;0
68;"São João de Meriti";"2016";663;648;15;608;40;504;28;69;7;97,7;2,3;93,8;6,2;82,9;4,6;11,3;1,2
69;"São José do Vale do Rio Preto";"2016";50;30;20;26;4;9;1;14;2;60;40;86,7;13,3;34,6;3,8;53,8;7,7
70;"São Pedro da Aldeia";"2016";251;240;11;229;11;135;12;79;3;95,6;4,4;95,4;4,6;59;5,2;34,5;1,3
71;"São Sebastião do Alto";"2016";27;27;0;26;1;4;0;21;1;100;0;96,3;3,7;15,4;0;80,8;3,8
