pip_dk;pip_dscr_novo;nucleo;familia;area_atuacao;ano;acervo_ip;acervo_pic
29933490;4ª PIP - Méier/Tijuca;Rio de Janeiro;Territorial;Méier/Tijuca;2002;25;0
29933590;1ª PIP - Penha/Irajá;Rio de Janeiro;Territorial;Penha/Irajá;2002;19;0
29933830;2ª PIP - Penha/Irajá;Rio de Janeiro;Territorial;Penha/Irajá;2002;35;0
29933850;3ª PIP - Penha/Irajá;Rio de Janeiro;Territorial;Penha/Irajá;2002;24;0
29934363;1ª PIP - Santa Cruz;Rio de Janeiro;Territorial;Santa Cruz;2002;1;0
29934376;2ª PIP - Santa Cruz;Rio de Janeiro;Territorial;Santa Cruz;2002;0;0
29934303;1ª PIP - Zona Sul/Barra;Rio de Janeiro;Territorial;Zona Sul/Barra;2002;20;0
29934337;2ª PIP - Zona Sul/Barra;Rio de Janeiro;Territorial;Zona Sul/Barra;2002;10;0
29941061;1ª PIP - VD Centro;Rio de Janeiro;Violência contra mulher;Área Centro;2002;9;0
29941071;2ª PIP - VD Centro;Rio de Janeiro;Violência contra mulher;Área Centro;2002;1;0
29934401;1ª PIP - VD Oeste/Jacarepaguá;Rio de Janeiro;Violência contra mulher;Área Oeste/Jacarepaguá;2002;44;0
29934732;2ª PIP - VD Oeste/Jacarepaguá;Rio de Janeiro;Violência contra mulher;Área Oeste/Jacarepaguá;2002;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2003;8;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2003;7;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2003;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2003;30;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2003;6;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2003;2;0
30069516;5ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2003;13;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2003;1;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2003;5;0
