pip_dk;pip_dscr;nucleo;familia;area_atuacao;ano_mes;denuncia;denuncia_preenchida;denuncia_sistema;denuncia_recebida;denuncia_rejeitada;denuncia_procedente;denuncia_improcedente;processo_extinto;processo_suspenso
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-06;2;2;2;2;0;0;0;0;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-06;0;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-03;0;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-05;72;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-06;37;18;15;15;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-03;25;10;10;10;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-05;4;2;2;2;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-06;9;2;2;2;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-03;14;9;7;7;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-04;6;6;4;4;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-05;13;10;8;8;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-06;14;9;7;7;0;0;0;0;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-03;17;9;7;7;0;0;0;1;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-04;7;4;4;4;0;0;0;1;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-05;4;3;3;3;0;0;0;0;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-06;8;6;3;3;0;0;0;0;0
400731;2ª PIP - Campos;Interior;Interior;Campos;2020-03;24;1;0;0;0;0;0;0;0
400758;1ª PIP - Campos;Interior;Interior;Campos;2020-03;14;2;2;2;0;0;0;1;0
