"codigo_orgao";"nome_orgao";"codigo_comarca";"nome_comarca";"ano";"denuncias";"com_informacao";"sem_informacao";"com_sentenca";"aguardando_sentenca";"sentenca_julgada_procedente";"sentenca_julgada_improcedente";"processo_extinto";"processo_suspenso";"taxa_com_informacao";"taxa_sem_informacao";"taxa_com_sentenca";"taxa_aguardando_sentenca";"taxa_sentenca_julgada_procedente";"taxa_sentenca_julgada_improcedente";"taxa_processo_extinto";"taxa_processo_suspenso"
400572;"PJ junto a 37ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";245;245;0;229;16;81;82;55;11;100;0;93,5;6,5;35,4;35,8;24;4,8
400595;"PJ junto a 38ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";227;220;7;214;6;143;19;27;25;96,9;3,1;97,3;2,7;66,8;8,9;12,6;11,7
400579;"PJ junto a 39ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";224;220;4;208;12;139;20;22;27;98,2;1,8;94,5;5,5;66,8;9,6;10,6;13
101062;"PJ junto a 40ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";247;238;9;235;3;160;20;33;22;96,4;3,6;98,7;1,3;68,1;8,5;14;9,4
101063;"PJ junto a 41ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";230;226;4;196;30;146;13;32;5;98,3;1,7;86,7;13,3;74,5;6,6;16,3;2,6
101053;"PJ junto a 42ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";232;229;3;225;4;156;30;28;11;98,7;1,3;98,3;1,7;69,3;13,3;12,4;4,9
101055;"PJ junto a 43ª Vara Criminal da Capital";15;"Rio de Janeiro";"2016";226;221;5;205;16;90;73;25;17;97,8;2,2;92,8;7,2;43,9;35,6;12,2;8,3
101043;"1ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu";15;"Rio de Janeiro";"2016";378;373;5;338;35;232;51;43;12;98,7;1,3;90,6;9,4;68,6;15,1;12,7;3,6
101044;"2ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu";15;"Rio de Janeiro";"2016";327;317;10;298;19;209;42;37;10;96,9;3,1;94;6;70,1;14,1;12,4;3,4
101082;"PJ junto a 1ª Vara Criminal de Jacarepagua";15;"Rio de Janeiro";"2016";281;279;2;268;11;158;48;61;1;99,3;0,7;96,1;3,9;59;17,9;22,8;0,4
101070;"PJ junto a 2ª Vara Criminal de Jacarepagua";15;"Rio de Janeiro";"2016";255;249;6;232;17;142;21;56;13;97,6;2,4;93,2;6,8;61,2;9,1;24,1;5,6
101088;"1ª PJ Criminal de Santa Cruz";15;"Rio de Janeiro";"2016";99;64;35;63;1;33;19;6;5;64,6;35,4;98,4;1,6;52,4;30,2;9,5;7,9
101089;"2ª PJ Criminal de Santa Cruz";15;"Rio de Janeiro";"2016";219;191;28;187;4;60;18;76;33;87,2;12,8;97,9;2,1;32,1;9,6;40,6;17,6
907757;"PJ junto a 1ª Vara Criminal de Madureira";15;"Rio de Janeiro";"2016";217;211;6;204;7;139;27;23;15;97,2;2,8;96,7;3,3;68,1;13,2;11,3;7,4
101080;"PJ junto a 2ª Vara Criminal de Madureira";15;"Rio de Janeiro";"2016";219;213;6;207;6;163;13;27;4;97,3;2,7;97,2;2,8;78,7;6,3;13;1,9
101290;"PJ junto a 1ª Vara Criminal de Niterói";44;"Niteroi";"2016";271;269;2;262;7;200;20;31;11;99,3;0,7;97,4;2,6;76,3;7,6;11,8;4,2
101291;"PJ junto a 2ª Vara Criminal de Niterói";44;"Niteroi";"2016";292;288;4;278;10;206;19;40;13;98,6;1,4;96,5;3,5;74,1;6,8;14,4;4,7
101292;"PJ junto a 3ª Vara Criminal de Niterói";44;"Niteroi";"2016";24;19;5;19;0;17;1;0;1;79,2;20,8;100;0;89,5;5,3;0;5,3
101294;"PJ junto a 4ª Vara Criminal de Niterói";44;"Niteroi";"2016";281;274;7;257;17;206;12;32;7;97,5;2,5;93,8;6,2;80,2;4,7;12,5;2,7
101403;"PJ junto a 1ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2016";311;305;6;302;3;234;30;29;9;98,1;1,9;99;1;77,5;9,9;9,6;3
101408;"PJ junto a 2ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2016";230;216;14;207;9;111;57;29;10;93,9;6,1;95,8;4,2;53,6;27,5;14;4,8
101405;"PJ junto a 3ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2016";239;231;8;218;13;178;23;9;8;96,7;3,3;94,4;5,6;81,7;10,6;4,1;3,7
101406;"1ª PJ junto a 4ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2016";12;7;5;7;0;3;3;0;1;58,3;41,7;100;0;42,9;42,9;0;14,3
101407;"2ª PJ junto a 4ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2016";12;9;3;8;1;6;2;0;0;75;25;88,9;11,1;75;25;0;0
101404;"PJ junto a 5ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2016";451;438;13;433;5;318;61;46;8;97,1;2,9;98,9;1,1;73,4;14,1;10,6;1,8
101189;"PJ junto a 1ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2016";326;320;6;306;14;228;28;39;11;98,2;1,8;95,6;4,4;74,5;9,2;12,7;3,6
101190;"PJ junto a 2ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2016";343;335;8;326;9;272;14;34;6;97,7;2,3;97,3;2,7;83,4;4,3;10,4;1,8
101191;"PJ junto a 3ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2016";330;315;15;285;30;171;45;64;5;95,5;4,5;90,5;9,5;60;15,8;22,5;1,8
101192;"1ª PJ junto a 4ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2016";9;6;3;5;1;3;0;2;0;66,7;33,3;83,3;16,7;60;0;40;0
101193;"2ª PJ junto a 4ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2016";9;2;7;2;0;2;0;0;0;22,2;77,8;100;0;100;0;0;0
200201;"PJ junto a 1ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2016";396;377;19;341;36;277;21;41;2;95,2;4,8;90,5;9,5;81,2;6,2;12;0,6
101315;"PJ junto a 2ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2016";415;386;29;367;19;278;39;48;2;93;7;95,1;4,9;75,7;10,6;13,1;0,5
101317;"1ª PJ junto a 4ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2016";8;8;0;7;1;5;1;1;0;100;0;87,5;12,5;71,4;14,3;14,3;0
101318;"2ª PJ junto a 4ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2016";7;7;0;6;1;2;4;0;0;100;0;85,7;14,3;33,3;66,7;0;0
